Id;Name;Category;Description;Price;Taxrate(%)
1;Blaue Rose;Garten;eine Rose in Blau, die ist schön;4.99;19.0
2;Schwarze Rose;Garten;eine Rose in Schwarz, die ist schön;6.99;19.0
3;Bauschaum;Baumaterialien;Mega Bauschaum, richtig schaumig;16.99;0.0
4;Apple AirPods Pro;Technologie;In-Ear-Kopfhörer mit aktiver Geräuschunterdrückung, kabellos, weiß;279.0;19.0
5;GARDENA Classic Gießstab;Garten;Gießstab mit 183 cm Länge, stufenlos regulierbare Wassermenge;29.99;19.0
6;Bosch Akkuschrauber;Baumaterialien;Bohrschrauber mit 2 Akkus, 18 V, 10 mm Bohrfutter;129.99;19.0
7;Philips Senseo Kaffeepadmaschine;Undefiniert;HD6554/68, schwarz, 0,7 l Wassertank, automatische Abschaltung;49.99;19.0
8;Bosch Professional Schlagbohrmaschine;Baumaterialien;Schlagbohrmaschine mit 750 Watt Motor, 13 mm Schnellspannbohrfutter;99.99;19.0
9;Bosch Akku-Laubbläser;Garten;Akku-Laubbläser mit 36V, 2,0 Ah, bis zu 300 km/h Luftstromgeschwindigkeit;199.0;19.0
10;Samsung Galaxy S21;Technologie;5G Smartphone, 128 GB Speicher, Triple-Kamera, Android 11, Phantom Gray;799.0;19.0
